电影名,导演,评分,评价人数,评价
指环王1：护戒使者/The Lord of the Rings: The Fellowship of the Ring/指环王1：魔戒再现/指环王I：护戒使者,彼得·杰克逊 Peter Jackson,9.1,954356人,N/A
罗马假日/Roman Holiday/金枝玉叶(港)/罗马假期(台),威廉·惠勒 William Wyler,9.1,1043869人,N/A
教父2/The Godfather: Part II/教父续集(港)/教父II,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.3,635521人,N/A
狮子王/The Lion King/狮子王3D,Roger Allers / 罗伯·明可夫 Rob Minkoff,9.1,955545人,N/A
天堂电影院/Nuovo Cinema Paradiso/星光伴我心(港)/新天堂乐园(台),朱塞佩·托纳多雷 Giuseppe Tornatore,9.2,737660人,N/A
饮食男女/飲食男女/Eat Drink Man Woman,李安 Ang Lee,9.2,720155人,N/A
辩护人/변호인/逆权大状(港)/正义辩护人(台),杨宇硕 Woo-seok Yang,9.2,655129人,电影的现实意义大过电影本身。
本杰明·巴顿奇事/The Curious Case of Benjamin Button/奇幻逆缘(港)/班杰明的奇幻旅程(台),大卫·芬奇 David Fincher,9.0,1099587人,在时间之河里感受溺水之苦。
搏击俱乐部/Fight Club/搏击会(港)/斗阵俱乐部(台),大卫·芬奇 David Fincher,9.0,968046人,N/A
美丽心灵/A Beautiful Mind/有你终生美丽(港)/美丽境界(台),朗·霍华德 Ron Howard,9.1,850124人,N/A
穿条纹睡衣的男孩/The Boy in the Striped Pajamas/穿条纹衣服的男孩/穿条纹衣的男孩,马克·赫尔曼 Mark Herman,9.2,638631人,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书/Love Letter/When I Close My Eyes/Letters of Love,岩井俊二 Shunji Iwai,8.9,1318043人,N/A
哈利·波特与死亡圣器(下)/Harry Potter and the Deathly Hallows: Part 2/哈利波特7：死神的圣物2(港/台),大卫·叶茨 David Yates,9.0,965526人,10年的完美句点。
"两杆大烟枪/Lock, Stock and Two Smoking Barrels/够姜四小强(港)/两根枪管(台)",盖·里奇 Guy Ritchie,9.1,674090人,N/A
窃听风暴/Das Leben der Anderen/窃听者(港)/他人的生活,,9.2,629157人,别样人生。
音乐之声/The Sound of Music/仙乐飘飘处处闻(港)/真善美(台),罗伯特·怀斯 Robert Wise,9.1,680834人,N/A
功夫//功夫3D/Kung Fu Hustle,周星驰 Stephen Chow,8.9,1327957人,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
哈利·波特与阿兹卡班的囚徒/Harry Potter and the Prisoner of Azkaban/哈利波特3：阿兹卡班的逃犯(港/台),阿方索·卡隆 Alfonso Cuarón,9.0,885659人,不一样的导演，不一样的哈利·波特。
西西里的美丽传说/Malèna/真爱伴我行(台)/玛莲娜,朱塞佩·托纳多雷 Giuseppe Tornatore,8.9,1088728人,N/A
阿凡达/Avatar/,詹姆斯·卡梅隆 James Cameron,8.8,1579560人,绝对意义上的美轮美奂。
看不见的客人/Contratiempo/死无对证(港)/布局(台),奥里奥尔·保罗 Oriol Paulo,8.8,1433587人,你以为你以为的就是你以为的。
拯救大兵瑞恩/Saving Private Ryan/雷霆救兵(港)/抢救雷恩大兵(台),史蒂文·斯皮尔伯格 Steven Spielberg,9.1,721547人,N/A
沉默的羔羊/The Silence of the Lambs/沉默的羔羊,乔纳森·戴米 Jonathan Demme,8.9,1011153人,N/A
小鞋子/بچه های آسمان/天堂的孩子/小童鞋,马基德·马基迪 Majid Majidi,9.2,462001人,N/A
布达佩斯大饭店/The Grand Budapest Hotel/布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),韦斯·安德森 Wes Anderson,8.9,1079851人,小清新的故事里注入了大历史的情怀。
蝴蝶效应/The Butterfly Effect/蝴蝶效应,,8.9,1062766人,人的命运被自己瞬间的抉择改变。
飞越疯人院/One Flew Over the Cuckoo's Nest/飞越杜鹃窝(台)/飞越喜鹊巢,米洛斯·福尔曼 Miloš Forman,9.1,601278人,N/A
禁闭岛/Shutter Island/不赦岛(港)/隔离岛(台),Martin Scorsese,8.9,1107422人,昔日翩翩少年，今日大腹便便。
还有明天/C'è ancora domani/明天还有梦(港)/我们还有明天(台),宝拉·柯特莱西 Paola Cortellesi,9.3,360184人,N/A
心灵捕手/Good Will Hunting/骄阳似我(港)/心灵捕手,格斯·范·桑特 Gus Van Sant,9.0,811539人,N/A
致命魔术/The Prestige/死亡魔法(港)/顶尖对决(台),克里斯托弗·诺兰 Christopher Nolan,8.9,960487人,孪生蝙蝠侠大战克隆金刚狼。
低俗小说/Pulp Fiction/危险人物(港)/黑色追缉令(台),昆汀·塔伦蒂诺 Quentin Tarantino,8.9,954744人,N/A
超脱/Detachment/人间师格(台),托尼·凯耶 Tony Kaye,9.0,719287人,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与密室/Harry Potter and the Chamber of Secrets/哈利波特2：消失的密室(港/台),Chris Columbus,8.9,911839人,N/A
一一//Yi yi/Yi yi: A One and a Two,杨德昌 Edward Yang,9.1,504847人,N/A
喜剧之王/喜劇之王/King of Comedy,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,8.8,1090229人,N/A
摩登时代/Modern Times/The Masses/Les Temps modernes,查理·卓别林 Charles Chaplin,9.3,345236人,N/A
杀人回忆/살인의 추억/谋杀回忆/杀手回忆录,奉俊昊 Joon-ho Bong,8.9,832854人,N/A
致命ID/Identity/杀人游戏/致命身份,詹姆斯·曼高德 James Mangold,8.9,943227人,N/A
春光乍泄/春光乍洩/一起快乐/Happy Together,王家卫 Kar Wai Wong,9.0,707113人,N/A
加勒比海盗/Pirates of the Caribbean: The Curse of the Black Pearl/加勒比海盗1：黑珍珠号的诅咒/神鬼奇航：鬼盗船魔咒(台),戈尔·维宾斯基 Gore Verbinski,8.8,964645人,N/A
海豚湾/The Cove/血色海湾(台)/海湾,路易·西霍尤斯 Louie Psihoyos,9.3,381586人,海豚的微笑，是世界上最高明的伪装。
美国往事/Once Upon a Time in America/四海兄弟(台)/义薄云天(港),赛尔乔·莱翁内 Sergio Leone,9.1,469721人,N/A
红辣椒/パプリカ/盗梦侦探(港/台),今敏 Satoshi Kon,9.0,566635人,梦的勾结。
七宗罪/Se7en/火线追缉令(台)/7宗罪,大卫·芬奇 David Fincher,8.8,1057513人,N/A
唐伯虎点秋香/唐伯虎點秋香/Flirting Scholar,李力持 Lik-Chi Lee,8.8,1220041人,N/A
狩猎/Jagten/诬网(港)/谎言的烙印(台),托马斯·温特伯格 Thomas Vinterberg,9.1,467853人,人言可畏。
幽灵公主/もののけ姫/魔法公主/幽灵少女,宫崎骏 Hayao Miyazaki,8.9,666851人,N/A
甜蜜蜜//Comrades: Almost a Love Story,陈可辛 Peter Chan,8.9,669754人,N/A
寄生虫/기생충/寄生上流(台)/上流寄生族(港),奉俊昊 Joon-ho Bong,8.8,1542788人,N/A
天书奇谭//天书奇谭4K纪念版/The Legend of Sealed Book,王树忱 Shuchen Wang / 钱运达 Yunda Qian,9.2,332980人,N/A
蝙蝠侠：黑暗骑士崛起/The Dark Knight Rises/蝙蝠侠前传3：黑暗骑士崛起/黑暗骑士：黎明升起(台),克里斯托弗·诺兰 Christopher Nolan,8.9,811619人,诺兰就是保证。
7号房的礼物/7번방의 선물/戆爸的礼物(港)/7号囚房的礼物,李焕庆 Hwan-kyeong Lee,8.9,620203人,《我是山姆》的《美丽人生》。
超能陆战队/Big Hero 6/大英雄联盟(港)/大英雄天团(台),唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,8.8,1141391人,Balalala~~~
第六感/The Sixth Sense/鬼眼(港)/灵异第六感(台),M·奈特·沙马兰 M. Night Shyamalan,8.9,634518人,N/A
爱在黎明破晓前/Before Sunrise/情留半天(港)/爱在黎明破晓时(台),理查德·林克莱特 Richard Linklater,8.8,797112人,N/A
茶馆//The Teahouse,谢添 Tian Xie,9.6,206899人,N/A
爱在日落黄昏时/Before Sunset/日落巴黎(港)/爱在日落巴黎时(台),理查德·林克莱特 Richard Linklater,8.9,650919人,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
被嫌弃的松子的一生/嫌われ松子の一生/花样奇缘(港)/令人讨厌的松子的一生(台),中岛哲也 Tetsuya Nakashima,8.8,773355人,以戏谑来戏谑戏谑。
哈利·波特与火焰杯/Harry Potter and the Goblet of Fire/哈利波特4：火杯的考验(港/台),迈克·内威尔 Mike Newell,8.8,798399人,N/A
头脑特工队/Inside Out/玩转脑朋友(港)/脑筋急转弯(台),,8.8,802214人,愿我们都不用长大，每一座城堡都能永远存在。
未麻的部屋/Perfect Blue/蓝色恐惧(港/台),今敏 Satoshi Kon,9.1,423302人,N/A
重庆森林/重慶森林/Chungking Express,王家卫 Kar Wai Wong,8.8,920215人,N/A
